animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
b'aardvark',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'false',b'false',b'true',b'mammal'
b'antelope',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'bass',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0.0,b'true',b'false',b'false',b'fish'
b'bear',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'false',b'false',b'true',b'mammal'
b'boar',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'buffalo',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'calf',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'true',b'true',b'mammal'
b'carp',b'false',b'false',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'false',b'false',b'true',0.0,b'true',b'true',b'false',b'fish'
b'catfish',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0.0,b'true',b'false',b'false',b'fish'
b'cavy',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'false',b'true',b'false',b'mammal'
b'cheetah',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'chicken',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'true',b'false',b'bird'
b'chub',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0.0,b'true',b'false',b'false',b'fish'
b'clam',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'false',b'false',b'false',b'false',b'false',0.0,b'false',b'false',b'false',b'invertebrate'
b'crab',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'false',b'false',b'false',4.0,b'false',b'false',b'false',b'invertebrate'
b'crayfish',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'false',b'false',b'false',6.0,b'false',b'false',b'false',b'invertebrate'
b'crow',b'false',b'true',b'true',b'false',b'true',b'false',b'true',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'false',b'bird'
b'deer',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'dogfish',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0.0,b'true',b'false',b'true',b'fish'
b'dolphin',b'false',b'false',b'false',b'true',b'false',b'true',b'true',b'true',b'true',b'true',b'false',b'true',0.0,b'true',b'false',b'true',b'mammal'
b'dove',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'true',b'false',b'bird'
b'duck',b'false',b'true',b'true',b'false',b'true',b'true',b'false',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'false',b'bird'
b'elephant',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'flamingo',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'true',b'bird'
b'flea',b'false',b'false',b'true',b'false',b'false',b'false',b'false',b'false',b'false',b'true',b'false',b'false',6.0,b'false',b'false',b'false',b'insect'
b'frog',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'false',b'false',b'false',b'amphibian'
b'frog',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'true',b'true',b'false',4.0,b'false',b'false',b'false',b'amphibian'
b'fruitbat',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'true',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'false',b'mammal'
b'giraffe',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'girl',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',2.0,b'false',b'true',b'true',b'mammal'
b'gnat',b'false',b'false',b'true',b'false',b'true',b'false',b'false',b'false',b'false',b'true',b'false',b'false',6.0,b'false',b'false',b'false',b'insect'
b'goat',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'true',b'true',b'mammal'
b'gorilla',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',2.0,b'false',b'false',b'true',b'mammal'
b'gull',b'false',b'true',b'true',b'false',b'true',b'true',b'true',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'false',b'bird'
b'haddock',b'false',b'false',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'false',b'false',b'true',0.0,b'true',b'false',b'false',b'fish'
b'hamster',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'true',b'false',b'mammal'
b'hare',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'false',b'mammal'
b'hawk',b'false',b'true',b'true',b'false',b'true',b'false',b'true',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'false',b'bird'
b'herring',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0.0,b'true',b'false',b'false',b'fish'
b'honeybee',b'true',b'false',b'true',b'false',b'true',b'false',b'false',b'false',b'false',b'true',b'true',b'false',6.0,b'false',b'true',b'false',b'insect'
b'housefly',b'true',b'false',b'true',b'false',b'true',b'false',b'false',b'false',b'false',b'true',b'false',b'false',6.0,b'false',b'false',b'false',b'insect'
b'kiwi',b'false',b'true',b'true',b'false',b'false',b'false',b'true',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'false',b'bird'
b'ladybird',b'false',b'false',b'true',b'false',b'true',b'false',b'true',b'false',b'false',b'true',b'false',b'false',6.0,b'false',b'false',b'false',b'insect'
b'lark',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'false',b'bird'
b'leopard',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'lion',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'lobster',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'false',b'false',b'false',6.0,b'false',b'false',b'false',b'invertebrate'
b'lynx',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'mink',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'mole',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'false',b'mammal'
b'mongoose',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'moth',b'true',b'false',b'true',b'false',b'true',b'false',b'false',b'false',b'false',b'true',b'false',b'false',6.0,b'false',b'false',b'false',b'insect'
b'newt',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'false',b'amphibian'
b'octopus',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'false',b'false',b'false',8.0,b'false',b'false',b'true',b'invertebrate'
b'opossum',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'false',b'mammal'
b'oryx',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'ostrich',b'false',b'true',b'true',b'false',b'false',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'true',b'bird'
b'parakeet',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'true',b'false',b'bird'
b'penguin',b'false',b'true',b'true',b'false',b'false',b'true',b'true',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'true',b'bird'
b'pheasant',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'false',b'bird'
b'pike',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0.0,b'true',b'false',b'true',b'fish'
b'piranha',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0.0,b'true',b'false',b'false',b'fish'
b'pitviper',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'true',b'true',b'false',0.0,b'true',b'false',b'false',b'reptile'
b'platypus',b'true',b'false',b'true',b'true',b'false',b'true',b'true',b'false',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'polecat',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'pony',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'true',b'true',b'mammal'
b'porpoise',b'false',b'false',b'false',b'true',b'false',b'true',b'true',b'true',b'true',b'true',b'false',b'true',0.0,b'true',b'false',b'true',b'mammal'
b'puma',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'pussycat',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'true',b'true',b'mammal'
b'raccoon',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'reindeer',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'true',b'true',b'mammal'
b'rhea',b'false',b'true',b'true',b'false',b'false',b'false',b'true',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'true',b'bird'
b'scorpion',b'false',b'false',b'false',b'false',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'false',8.0,b'true',b'false',b'false',b'invertebrate'
b'seahorse',b'false',b'false',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'false',b'false',b'true',0.0,b'true',b'false',b'false',b'fish'
b'seal',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'true',b'true',b'true',b'false',b'true',0.0,b'false',b'false',b'true',b'mammal'
b'sealion',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'true',b'true',b'true',b'false',b'true',2.0,b'true',b'false',b'true',b'mammal'
b'seasnake',b'false',b'false',b'false',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'true',b'false',0.0,b'true',b'false',b'false',b'reptile'
b'seawasp',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'false',b'true',b'false',0.0,b'false',b'false',b'false',b'invertebrate'
b'skimmer',b'false',b'true',b'true',b'false',b'true',b'true',b'true',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'false',b'bird'
b'skua',b'false',b'true',b'true',b'false',b'true',b'true',b'true',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'false',b'bird'
b'slowworm',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',0.0,b'true',b'false',b'false',b'reptile'
b'slug',b'false',b'false',b'true',b'false',b'false',b'false',b'false',b'false',b'false',b'true',b'false',b'false',0.0,b'false',b'false',b'false',b'invertebrate'
b'sole',b'false',b'false',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'false',b'false',b'true',0.0,b'true',b'false',b'false',b'fish'
b'sparrow',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'false',b'bird'
b'squirrel',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'false',b'mammal'
b'starfish',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'false',b'false',b'false',5.0,b'false',b'false',b'false',b'invertebrate'
b'stingray',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'true',b'true',0.0,b'true',b'false',b'true',b'fish'
b'swan',b'false',b'true',b'true',b'false',b'true',b'true',b'false',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'true',b'bird'
b'termite',b'false',b'false',b'true',b'false',b'false',b'false',b'false',b'false',b'false',b'true',b'false',b'false',6.0,b'false',b'false',b'false',b'insect'
b'toad',b'false',b'false',b'true',b'false',b'false',b'true',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'false',b'false',b'false',b'amphibian'
b'tortoise',b'false',b'false',b'true',b'false',b'false',b'false',b'false',b'false',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'reptile'
b'tuatara',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'false',b'reptile'
b'tuna',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',b'true',0.0,b'true',b'false',b'true',b'fish'
b'vampire',b'true',b'false',b'false',b'true',b'true',b'false',b'false',b'true',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'false',b'mammal'
b'vole',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'false',b'mammal'
b'vulture',b'false',b'true',b'true',b'false',b'true',b'false',b'true',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'true',b'bird'
b'wallaby',b'true',b'false',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'true',b'mammal'
b'wasp',b'true',b'false',b'true',b'false',b'true',b'false',b'false',b'false',b'false',b'true',b'true',b'false',6.0,b'false',b'false',b'false',b'insect'
b'wolf',b'true',b'false',b'false',b'true',b'false',b'false',b'true',b'true',b'true',b'true',b'false',b'false',4.0,b'true',b'false',b'true',b'mammal'
b'worm',b'false',b'false',b'true',b'false',b'false',b'false',b'false',b'false',b'false',b'true',b'false',b'false',0.0,b'false',b'false',b'false',b'invertebrate'
b'wren',b'false',b'true',b'true',b'false',b'true',b'false',b'false',b'false',b'true',b'true',b'false',b'false',2.0,b'true',b'false',b'false',b'bird'
